,param_max_depth,param_max_leaf_nodes,mean_test_score
0,20,20,0.7469861792956317
1,20,40,0.759540116478275
2,20,80,0.7682340149175811
3,20,160,0.7779255585135683
4,20,320,0.7831276470652127
5,20,640,0.7846479139662634
6,20,1280,0.7824507093094458
7,40,20,0.7469861792956317
8,40,40,0.759540116478275
9,40,80,0.7682340149175811
10,40,160,0.7779255585135683
11,40,320,0.7831514014449265
12,40,640,0.7846954220203947
13,40,1280,0.782355687558813
14,20,20,0.7469861792956317
15,20,40,0.759540116478275
16,20,80,0.7682340149175811
17,20,160,0.7779255585135683
18,20,320,0.783198910204354
19,20,640,0.7845410234893293
20,20,1280,0.7822963093677878
21,40,20,0.7469861792956317
22,40,40,0.759540116478275
23,40,80,0.7682340149175811
24,40,160,0.7779255585135683
25,40,320,0.7831514014449265
26,40,640,0.7846241595865496
27,40,1280,0.7823200623369091
28,80,20,0.7469861792956317
29,80,40,0.759540116478275
30,80,80,0.7682340149175811
31,80,160,0.7779255585135683
32,80,320,0.7831514014449265
33,80,640,0.7845766536483073
34,80,1280,0.7824032005500183
35,160,20,0.7469861792956317
36,160,40,0.759540116478275
37,160,80,0.7682340149175811
38,160,160,0.7779255585135683
39,160,320,0.7832226645840678
40,160,640,0.7846241617024385
41,160,1280,0.7824863373525349
42,320,20,0.7469861792956317
43,320,40,0.759540116478275
44,320,80,0.7682340149175811
45,320,160,0.7779255585135683
46,320,320,0.783198910204354
47,320,640,0.7845885301328679
48,320,1280,0.7822844279461532
49,640,20,0.7469861792956317
50,640,40,0.759540116478275
51,640,80,0.7682340149175811
52,640,160,0.7779255585135683
53,640,320,0.7831514014449265
54,640,640,0.7846122823966928
55,640,1280,0.7823319303579139
56,1280,20,0.7469861792956317
57,1280,40,0.759540116478275
58,1280,80,0.7682340149175811
59,1280,160,0.7779255585135683
60,1280,320,0.7831514014449265
61,1280,640,0.7845647785743395
62,1280,1280,0.7825576011969725
