,param_max_depth,param_max_leaf_nodes,param_splitter,param_max_features,param_min_impurity_decrease,mean_test_score
0,1280,1280,best,50,0.0,0.7822606658081799
1,1280,1280,best,50,0.1,0.478781905312842
2,1280,1280,best,50,0.2,0.478781905312842
3,1280,1280,best,50,0.3,0.478781905312842
4,1280,1280,best,50,0.4,0.478781905312842
5,1280,1280,best,50,0.5,0.478781905312842
6,1280,1280,best,50,0.6,0.478781905312842
7,1280,1280,best,50,0.7,0.478781905312842
8,1280,1280,best,50,0.9,0.478781905312842
9,1280,1280,best,50,1.0,0.478781905312842
