,param_n_neighbors,param_weights,param_metric,param_algorithm,param_leaf_size,param_p,mean_test_score
0,15,distance,euclidean,ball_tree,40,1,0.7122581514268356
1,15,distance,euclidean,ball_tree,40,2,0.7122581514268356
2,15,distance,euclidean,ball_tree,40,3,0.7122581514268356
3,15,distance,euclidean,ball_tree,50,1,0.7122581514268356
4,15,distance,euclidean,ball_tree,50,2,0.7122581514268356
5,15,distance,euclidean,ball_tree,50,3,0.7122581514268356
6,15,distance,euclidean,ball_tree,60,1,0.7122581514268356
7,15,distance,euclidean,ball_tree,60,2,0.7122581514268356
8,15,distance,euclidean,ball_tree,60,3,0.7122581514268356
9,15,distance,euclidean,ball_tree,70,1,0.7122937879334803
10,15,distance,euclidean,ball_tree,70,2,0.7122937879334803
11,15,distance,euclidean,ball_tree,70,3,0.7122937879334803
12,15,distance,euclidean,ball_tree,80,1,0.7122937879334803
13,15,distance,euclidean,ball_tree,80,2,0.7122937879334803
14,15,distance,euclidean,ball_tree,80,3,0.7122937879334803
15,15,distance,euclidean,ball_tree,90,1,0.7122937879334803
16,15,distance,euclidean,ball_tree,90,2,0.7122937879334803
17,15,distance,euclidean,ball_tree,90,3,0.7122937879334803
18,15,distance,euclidean,ball_tree,100,1,0.7122937879334803
19,15,distance,euclidean,ball_tree,100,2,0.7122937879334803
20,15,distance,euclidean,ball_tree,100,3,0.7122937879334803
